County,Fire Name,Start,Contained,Acres,Deaths_FF,Deaths_Civil,Duration,Strux_Destr,Strux_Dmgd,Duration_Days
YOLO,Rumsey,2009-06-29,2009-07-02,716,0,0,4 days,,,4
TULARE,LION,2009-06-30,2009-08-21,"2,577",0,0,53 days,,,53
TULARE,GRANITE,2009-06-30,2009-08-21,"1,417",0,0,53 days,,,53
TRINITY,REDSPOT,2009-07-01,2009-07-24,"1,120",0,0,24 days,,,24
TRINITY,BACKBONE,2009-07-07,2009-07-24,"5,065",1,0,18 days,,,18
VENTURA,SULPHUR,2009-07-11,2009-07-13,343,0,0,3 days,,,3
SAN DIEGO,YANKEE,2009-07-11,2009-07-14,"2,200",0,0,4 days,,,4
LOS ANGELES,OSITO,2009-07-13,2009-07-15,304,0,0,3 days,,,3
PLACER,Mammoth,2009-07-16,2009-07-18,650,0,0,3 days,,,3
INYO,FORK,2009-07-18,2009-07-27,"3,268",0,0,10 days,,,10
SISKIYOU,TENNANT,2009-07-19,2009-07-27,"3,226",0,0,9 days,,,9
TUOLUMNE,KNIGHT,2009-07-26,2009-08-11,"6,130",0,0,17 days,,,17
MADERA,Ash,2009-07-27,2009-07-29,300,0,0,3 days,,,3
TUOLUMNE,WILDCAT,2009-07-29,2009-08-31,"1,255",0,0,34 days,,,34
LASSEN,"DODGE COMPLEX
(SIX FIRES)",2009-08-01,2009-08-03,"1,600",0,0,3 days,,,3
MONTEREY,PONDEROSA,2009-08-01,2009-08-07,458,0,0,7 days,,,7
SHASTA,SUGAR LOAF,2009-08-01,2009-08-12,"9,356",0,0,12 days,,,12
SHASTA,BROWN (H-31),2009-08-02,2009-08-12,"1,865",0,0,11 days,,,11
SHASTA,Cassel (SHU Complex),2009-08-03,2009-08-14,"6,319",0,0,12 days,,,12
SHASTA,Chalk (SHU Complex),2009-08-03,2009-08-16,"6,895",0,0,14 days,,,14
SHASTA,One-Eleven (SHU Complex),2009-08-03,2009-08-17,50,0,0,15 days,,,15
SHASTA,Goose (SHU Complex),2009-08-03,2009-08-17,"3,918",0,0,15 days,,,15
SHASTA,Gomez (SHU Complex),2009-08-03,2009-08-17,404,0,0,15 days,,,15
SHASTA,FAIRFIELD,2009-08-03,2009-09-30,"1,664",0,0,59 days,,,59
SANTA BARBARA,LA BREA,2009-08-08,2009-08-23,"91,622",0,0,16 days,,,16
TRINITY,Coffin,2009-08-12,2009-08-15,"1,300",0,0,4 days,,,4
SANTA CRUZ,Lockheed,2009-08-12,2009-08-23,"7,817",0,0,12 days,,,12
SAN JOAQUIN,Corral,2009-08-13,2009-08-16,"12,200",0,0,4 days,,,4
