Year,County,Acres,Strux_Destr,Strux_Dmgd,Deaths_FF,Deaths_Civil,Duration,Unique_Fire_Days,Total_Fires
2018,MENDOCINO,972,10,0,0,0,9,9,1
2018,MERCED,6319,0,0,0,0,6,6,2
2018,MODOC,41487,2,0,0,0,26,26,2
2018,MONO,757,0,0,0,0,12,6,2
2018,MONTEREY,3786,0,0,0,0,8,8,4
2018,NAPA,2490,0,0,0,0,8,8,1
2018,ORANGE,23025,24,18,0,0,40,40,1
2018,PLACER,1815,0,0,0,0,17,17,2
2018,RIVERSIDE,14400,12,5,0,0,18,18,2
2018,SAN BENITO,1827,0,0,0,0,18,9,2
2018,SAN BERNARDINO,1350,0,0,0,0,7,7,1
2018,SAN DIEGO,2690,48,14,0,0,17,12,4
2018,SAN JOAQUIN,11789,1,0,0,0,14,14,1
2018,SAN LUIS OBISPO,2514,0,0,0,0,14,14,2
2018,SANTA CLARA,320,0,0,0,0,3,3,1
2018,SHASTA,341299,42,283,3,4,131,84,5
2018,SISKIYOU,38008,83,12,0,1,17,17,1
2018,SOLANO,6662,3,1,0,0,7,7,2
2018,SUTTER,1000,0,0,0,0,3,3,1
2018,TEHAMA,10237,9,3,0,0,17,17,3
2018,TRINITY,1751,5,0,0,0,14,14,1
2018,TULARE,6420,0,0,0,0,156,85,3
2018,TUOLUMNE,37023,135,0,0,0,95,92,2
2018,VENTURA,101330,4,366,0,3,24,15,2
2018,YOLO,90822,29,4,0,0,19,19,2
2019,BUTTE,496,2,1,0,0,3,3,1
2019,COLUSA,2220,4,0,0,0,8,8,1
2019,CONTRA COSTA,340,0,0,0,0,5,5,1
2019,EL DORADO,3435,0,0,0,0,22,22,1
2019,INYO,10400,0,0,0,0,79,79,1
2019,KERN,2500,0,0,0,0,2,2,1
2019,LASSEN,6838,1,4,0,0,16,16,3
2019,LOS ANGELES,13494,66,156,0,1,43,36,3
2019,MARIPOSA,7296,1,0,0,0,21,21,3
2019,MENDOCINO,703,0,0,0,0,7,7,1
2019,MODOC,19887,0,0,0,0,21,21,2
2019,MONO,4840,0,0,0,0,68,68,1
2019,MONTEREY,3162,0,0,0,0,16,13,3
2019,NAPA,526,1,0,0,0,2,2,1
2019,PLACER,948,0,0,0,0,3,3,2
2019,PLUMAS,54608,9,0,0,0,22,22,1
2019,RIVERSIDE,5806,81,27,0,2,36,31,8
2019,SAN BERNARDINO,685,0,0,0,0,2,2,1
2019,SAN DIEGO,448,0,0,0,0,3,3,1
2019,SAN LUIS OBISPO,4683,1,1,0,0,6,6,4
2019,SANTA BARBARA,3546,0,1,0,0,24,24,2
2019,SHASTA,600,14,7,0,0,10,10,1
2019,SISKIYOU,1872,0,0,0,0,21,21,1
2019,SONOMA,77758,374,60,0,0,19,19,1
2019,STANISLAUS,3001,0,0,0,0,4,4,2
2019,SUTTER,1300,7,0,0,0,2,2,1
2019,TEHAMA,17307,5,4,0,0,103,84,4
2019,TRINITY,1749,0,0,0,0,69,69,2
2019,TULARE,3753,0,0,0,0,151,102,4
2019,TUOLUMNE,731,0,0,0,0,112,112,1
2019,VENTURA,12374,5,1,0,0,17,10,2
2020,BUTTE,19609,0,0,0,0,31,31,1
2020,CALAVERAS,3238,2,2,0,0,13,13,2
2020,COLUSA,560,1,1,0,0,5,5,1
2020,CONTRA COSTA,396625,225,26,0,0,31,31,1
2020,EL DORADO,1673,0,0,0,0,62,62,1
2020,FRESNO,415975,865,71,1,0,281,168,9
2020,HUMBOLDT,144698,0,0,0,0,112,112,1
2020,KERN,11760,31,4,1,0,17,17,2
2020,KINGS,2060,0,0,0,0,1,1,1
2020,LASSEN,128629,58,13,0,0,167,84,8
2020,LOS ANGELES,153785,203,53,0,0,170,121,6
2020,MADERA,900,0,0,0,0,3,3,2
2020,MARIN,4929,0,0,0,0,45,45,1
2020,MARIPOSA,6922,0,0,0,0,119,119,1
2020,MENDOCINO,1920,59,1,0,0,28,28,2
2020,MERCED,2980,0,0,0,0,6,6,2
2020,MONO,50924,99,0,0,1,75,75,3
2020,MONTEREY,180835,122,24,0,0,207,140,5
2020,NAPA,430704,0,514,0,5,61,61,2
2020,NEVADA,705,18,3,0,0,21,21,1
2020,ORANGE,32846,37,44,0,0,36,23,3
2020,PLACER,670,0,0,0,0,1,1,1
2020,PLUMAS,348505,26,121,0,16,130,106,2
2020,RIVERSIDE,43173,13,6,0,0,139,128,5
2020,SACRAMENTO,6295,0,1,0,0,12,12,3
2020,SAN BENITO,2298,1,0,0,0,9,9,2
2020,SAN BERNARDINO,67105,20,2,1,0,86,86,3
2020,SAN DIEGO,21766,64,11,0,0,34,34,3
2020,SAN LUIS OBISPO,13577,13,2,0,0,33,28,8
2020,SAN MATEO,86509,0,140,0,1,38,38,1
2020,SANTA BARBARA,2091,0,0,0,0,10,10,2
2020,SANTA CLARA,5866,4,0,0,0,21,17,2
2020,SHASTA,56671,204,27,0,4,27,27,2
2020,SIERRA,47029,35,0,0,0,17,17,1
2020,SISKIYOU,252133,368,24,0,2,189,105,5
2020,SOLANO,1837,5,12,0,0,8,8,1
2020,TEHAMA,684,0,0,0,0,13,13,1
2020,TRINITY,1033061,89,10,1,0,161,91,3
2020,TULARE,186604,232,12,0,0,419,151,5
2020,TUOLUMNE,4914,2,1,0,0,113,101,2
2020,VENTURA,3292,0,0,0,0,16,13,3
2020,YUBA,2411,11,5,0,0,4,4,3
2021,ALPINE,69957,15,2,0,0,168,113,2
2021,BUTTE,952,2,1,0,0,4,4,2
2021,CALAVERAS,639,0,0,0,0,9,9,1
2021,EL DORADO,221835,0,81,0,0,69,69,1
2021,HUMBOLDT,2421,0,0,0,0,15,15,1
2021,INYO,1152,0,0,0,0,24,19,2
2021,KERN,32994,50,7,0,0,92,92,5
2021,KINGS,447,0,0,0,0,2,2,1
2021,LOS ANGELES,4290,5,1,0,0,41,36,7
2021,MARIPOSA,9656,12,2,0,0,11,11,1
2021,MODOC,1011,0,0,0,0,6,6,1
2021,MONO,2965,0,0,0,0,17,17,1
2021,MONTEREY,3995,0,0,0,0,29,29,2
2021,PLACER,3030,142,21,0,0,62,50,2
2021,PLUMAS,1068979,148,117,0,0,197,116,2
2021,RIVERSIDE,2749,6,3,0,0,37,37,4
2021,SAN BERNARDINO,3661,9,28,0,0,23,20,3
2021,SAN DIEGO,7231,3,0,0,0,23,22,4
2021,SANTA BARBARA,16970,12,1,0,0,42,42,1
2021,SHASTA,144652,276,31,0,0,81,81,4
2021,SISKIYOU,478172,174,9,0,0,375,133,7
2021,STANISLAUS,508,0,0,0,0,2,2,1
2021,TRINITY,223124,28,2,0,0,95,95,1
2021,TULARE,196261,25,1,0,0,227,141,5
2021,TUOLUMNE,3591,0,0,0,0,135,119,3
2021,YUBA,939,2,0,0,0,9,9,1
2022,ALAMEDA,552,0,0,0,0,1,1,1
2022,AMADOR,4470,0,0,0,0,20,20,1
2022,BUTTE,328,0,0,0,0,1,1,1
2022,GLENN,317,0,0,0,0,6,6,1
2022,INYO,4136,0,0,0,0,11,11,1
2022,KERN,3699,0,0,0,0,16,16,3
2022,LOS ANGELES,5208,2,0,0,0,7,7,1
2022,MADERA,1499,43,1,0,0,9,9,2
2022,MARIPOSA,19665,197,10,0,0,48,47,2
2022,MERCED,806,0,1,0,0,3,3,2
2022,MODOC,5843,2,0,0,0,22,22,1
2022,MONTEREY,687,1,1,0,0,13,13,1
2022,NAPA,570,0,0,0,0,6,6,1
2022,NEVADA,904,4,0,0,0,8,8,1
2022,PLACER,76788,78,14,0,0,47,47,1
2022,RIVERSIDE,28098,37,8,0,2,18,18,1
2022,SAN DIEGO,5033,30,8,0,0,11,11,2
2022,SAN LUIS OBISPO,387,0,0,0,0,6,6,1
2022,SHASTA,304,16,4,0,0,6,6,1
2022,SISKIYOU,17379,122,26,0,2,72,59,2
2022,TEHAMA,593,7,2,0,0,6,6,1
