County,Fire Name,Start,Contained,Acres,Deaths_FF,Deaths_Civil,Duration,Strux_Destr,Strux_Dmgd
SAN JOAQUIN,MILTON,2011-09-09,2011-09-11,"1,122",0,0,3,0,0
KERN,"KEENE
COMPLEX",2011-09-10,2011-09-14,"10,470",0,0,5,0,0
KERN,"COMANCHE
COMPLEX",2011-09-10,2011-09-17,"29,338",0,0,8,0,0
KERN,"BRECKENRIDGE
COMPLEX",2011-09-10,2011-09-17,"25,213",0,0,8,0,0
TULARE,TENNESSEE,2011-09-11,2011-09-12,380,0,0,2,0,0
EL DORADO,LONG,2011-09-12,2011-11-11,483,0,0,61,0,0
INYO,JOHN,2011-09-13,2011-09-16,"5,300",0,0,4,0,0
MARIPOSA,TAMARACK,2011-09-13,2011-10-17,"1,015",0,0,35,0,0
TUOLUMNE,BURST COMPLEX,2011-09-15,2011-09-15,508,0,0,1,0,0
LOS ANGELES,MINT,2011-09-17,2011-09-30,634,0,0,14,0,0
TULARE,"TUU SEPT
LIGHTNING",2011-09-23,2011-09-24,350,0,0,2,0,0
KERN,OLD FIRE,2011-09-23,2011-09-24,410,0,0,2,0,0
KERN,65 FIRE,2011-09-23,2011-09-24,"2,005",0,0,2,0,0
TRINITY,RUTH,2011-09-23,2011-11-15,"1,460",0,0,54,31,0
RIVERSIDE,WINDY POINT,2011-09-25,2011-10-03,541,0,0,9,0,0
SAN DIEGO,GREAT,2011-10-01,2011-10-07,"2,135",0,0,7,0,0
