County,Fire Name,Start,Contained,Acres,Strux_Destr,Strux_Dmgd,Deaths_FF,Deaths_Civil,Duration
MODOC,MODOC JULY COMPLEX,2017-07-24,2017-08-13,"83,120",0,0,0,0,21 days
SISKIYOU,ORLEANS COMPLEX,2017-07-25,2017-10-12,"27,276",0,0,0,0,80 days
WASHOE,R-21,2017-07-26,2017-07-27,589,0,0,0,0,2 days
SACRAMENTO,LATROBE,2017-07-26,2017-07-28,"1,268",0,0,0,0,3 days
TOULUMNE,JACKSONVILLE,2017-07-29,2017-08-04,675,1,0,0,0,7 days
PLUMAS,MINERVA 5,2017-07-29,2017-08-16,"4,310",0,0,0,0,19 days
TULARE,ROADRUNNER,2017-07-30,2017-07-31,"2,289",0,0,0,0,2 days
KERN,GARDEN,2017-07-30,2017-08-09,450,0,0,0,0,11 days
MONO,GRANT,2017-07-31,2017-08-03,400,0,0,0,0,4 days
TUOLUMNE,SUMMIT COMPLEX,2017-07-31,2017-11-30,"5,248",0,0,0,0,123 days
MARIPOSA,EMPIRE,2017-08-01,2017-10-31,"6,370",0,0,0,0,92 days
SAN LUIS OBISPO,RED,2017-08-02,2017-08-03,450,0,0,0,0,2 days
SAN BERNARDINO,BRYANT 2,2017-08-03,2017-08-14,325,1,0,0,0,12 days
MODOC,PARKER 2,2017-08-03,2017-08-14,"7,697",1,0,0,0,12 days
TULARE,INDIAN,2017-08-03,2017-08-29,"2,295",0,0,0,0,27 days
PLUMAS,CHILCOOT,2017-08-06,2017-08-08,"1,021",0,0,0,0,3 days
LASSEN,POSLIN,2017-08-06,2017-08-09,860,0,0,0,0,4 days
MADERA,BUTTE,2017-08-07,2017-08-17,635,0,0,0,0,11 days
DEL NORTE,YOUNG,2017-08-07,2017-10-15,"21,377",0,0,0,0,70 days
TRINITY,RUTH COMPLEX,2017-08-09,2017-08-25,"4,736",0,0,0,0,17 days
KERN,ROSE,2017-08-10,2017-08-10,338,0,0,0,0,1 days
RIVERSIDE,BLAINE,2017-08-13,2017-08-16,"1,500",0,46,0,0,4 days
SISKIYOU,SALMON AUGUST COMPLEX,2017-08-13,2017-10-20,"65,889",1,0,0,0,69 days
MARIPOSA,SOUTH FORK,2017-08-13,2017-11-30,"7,000",0,0,0,0,110 days
RIVERSIDE,MIAS,2017-08-14,2017-08-18,600,0,0,0,0,5 days
JACKSON (OR),MILLER COMPLEX,2017-08-14,2017-11-30,"39,716",0,0,0,0,109 days
SISKIYOU,ECLIPSE COMPLEX,2017-08-15,2017-10-10,"78,698",0,0,0,0,57 days
YUBA,BEALE,2017-08-20,2017-08-20,950,0,0,0,0,1 days
MODOC,JONES,2017-08-23,2017-08-27,375,0,0,0,0,5 days
MODOC,BOLES,2017-08-23,2017-09-04,371,0,0,0,0,13 days
LASSEN,MUD,2017-08-29,2017-09-01,"6,042",0,0,0,0,4 days
MONO,SLINKARD,2017-08-29,2017-09-11,"8,925",0,0,0,0,14 days
MADERA,RAILROAD,2017-08-29,2017-09-15,"12,407",8,1,1,0,18 days
TULARE,PIER,2017-08-29,2017-09-24,"36,556",2,0,0,0,27 days
BUTTE,PONDEROSA,2017-08-29,2017-10-28,"4,016",55,0,0,0,61 days
NEVADA,PLEASANT,2017-08-30,2017-09-06,392,1,1,0,0,8 days
WASHOE (NV),R-4,2017-08-30,2017-09-18,"18,618",0,0,0,0,20 days
TRINITY,HELENA,2017-08-30,2017-10-19,"21,449",131,0,0,0,51 days
KERN,CALDWELL,2017-09-01,2017-09-06,"1,319",0,0,0,0,6 days
LOS ANGELES,LA TUNA,2017-09-01,2017-09-08,"7,194",5,0,0,0,8 days
RIVERSIDE,PALMER,2017-09-02,2017-09-09,"3,800",0,1,0,0,8 days
MADERA,PEAK,2017-09-03,2017-09-09,680,4,0,0,0,7 days
MADERA,MISSION,2017-09-03,2017-09-13,"1,037",7,4,0,0,11 days
TUOLUMNE,CREEK,2017-09-03,2017-11-20,"1,749",0,0,0,0,79 days
PLUMAS,EUREKA,2017-09-05,2017-10-31,437,0,0,0,0,57 days
EL DORADO,TABLE,2017-09-08,2017-10-17,426,0,0,0,0,40 days
SHASTA,BERRY,2017-09-12,2017-10-04,900,0,0,0,0,23 days
TRINITY,BUCK,2017-09-12,2017-11-05,"13,434",0,0,0,0,55 days
MADERA,EASTMAN,2017-09-18,2017-09-19,483,0,0,0,0,2 days
TULARE,LION,2017-09-24,2017-11-27,"19,215",0,0,0,0,65 days
ORANGE,CANYON,2017-09-25,2017-10-03,"2,662",0,7,0,0,9 days
SANTA BARBARA,RUCKER,2017-09-29,2017-10-04,444,0,0,0,0,6 days
YUBA,CASCADE (NEU WIND COMPLEX)*,2017-10-08,2017-10-19,"9,989",264,10,0,4,12 days
NEVADA,MCCOURTNEY (NEU WIND COMPLEX),2017-10-08,2017-10-21,76,13,2,0,0,14 days
NEVADA,LOBO (NEU WIND COMPLEX),2017-10-08,2017-10-22,821,47,2,0,0,15 days
MENDOCINO,"REDWOOD VALLEY
(MENDOCINO LAKE COMPLEX)",2017-10-08,2017-10-26,"36,523",543,41,0,9,19 days
NAPA,TUBBS (CENTRAL LNU COMPLEX),2017-10-08,2017-10-31,"36,807",0,317,1,21,24 days
SONOMA,ADOBE (CENTRAL LNU COMPLEX -NUNS),2017-10-08,2017-10-31,"3,700",0,0,0,0,24 days
NAPA,PARTRICK (CENTRAL LNU COMPLEX -NUNS),2017-10-08,2017-10-31,"8,283",0,0,0,0,24 days
BUTTE,CHEROKEE,2017-10-08,2017-11-05,"8,500",6,1,0,0,29 days
MARIN,THIRTY SEVEN,2017-10-09,2017-10-12,"1,660",3,1,0,0,4 days
ORANGE,CANYON 2,2017-10-09,2017-10-17,"9,217",25,55,0,0,9 days
BUTTE,LA PORTE (NEU WIND COMPLEX),2017-10-09,2017-10-20,"6,151",74,2,0,0,12 days
LAKE,"SULPHUR
(MENDOCINO LAKE COMPLEX)",2017-10-09,2017-10-26,"2,207",162,8,0,0,18 days
NAPA,ATLAS (SOUTHERN LNU COMPLEX),2017-10-09,2017-10-28,"51,624",783,120,0,6,20 days
SONOMA,NUNS (CENTRAL LNU COMPLEX),2017-10-09,2017-10-31,"44,573",0,172,0,3,23 days
SONOMA,POCKET 2 (CENTRAL LNU COMPLEX),2017-10-09,2017-10-31,"17,357",6,2,0,0,23 days
SANTA CRUZ,BEAR,2017-10-16,2017-10-29,391,6,0,0,0,14 days
SAN DIEGO,BUFFALO,2017-10-17,2017-10-19,"1,088",0,0,0,0,3 days
RIVERSIDE,WILDOMAR,2017-10-26,2017-11-01,866,0,0,0,0,7 days
MONO,CHRIS,2017-11-13,2017-11-16,370,0,0,0,0,4 days
