County,Fire Name,Start,Contained,Acres,Deaths_FF,Deaths_Civil,Duration,Strux_Destr,Strux_Dmgd,Year
SHASTA,Gomez (SHU Complex),2009-08-03,2009-08-17,404,0,0,15,0,0,2009
SHASTA,FAIRFIELD,2009-08-03,2009-09-30,1664,0,0,59,0,0,2009
SANTA BARBARA,LA BREA,2009-08-08,2009-08-23,91622,0,0,16,0,0,2009
TRINITY,Coffin,2009-08-12,2009-08-15,1300,0,0,4,0,0,2009
SANTA CRUZ,Lockheed,2009-08-12,2009-08-23,7817,0,0,12,0,0,2009
SAN JOAQUIN,Corral,2009-08-13,2009-08-16,12200,0,0,4,0,0,2009
YUBA,Yuba,2009-08-14,2009-08-24,3891,0,0,11,0,0,2009
PLUMAS,ELEPHANT,2009-08-16,2009-08-31,445,0,0,16,0,0,2009
SISKIYOU,RED ROCK,2009-08-21,2009-09-05,1364,0,0,16,0,0,2009
LOS ANGELES,MORRIS,2009-08-25,2009-09-03,2163,0,0,10,0,0,2009
MONTEREY,Bryson,2009-08-26,2009-08-29,3383,0,0,4,0,0,2009
SAN DIEGO,RIDGE,2009-08-26,2009-08-29,500,0,0,4,0,0,2009
MARIPOSA,BIG MEADOWS,2009-08-26,2009-09-07,7425,0,0,13,0,0,2009
LOS ANGELES,STATION,2009-08-26,2009-10-16,160577,2,0,52,0,0,2009
LASSEN,Day,2009-08-27,2009-08-30,853,0,0,4,0,0,2009
RIVERSIDE,COTTONWOOD,2009-08-27,2009-08-31,2409,0,0,5,0,0,2009
MONTEREY,Gloria,2009-08-27,2009-09-01,6437,0,0,6,0,0,2009
SANTA CLARA,Pacheco,2009-08-29,2009-08-30,1600,0,0,2,0,0,2009
PLACER,Forty Nine,2009-08-30,2009-09-01,311,0,0,3,0,0,2009
SAN BERNARDINO,Oak Glen III,2009-08-30,2009-09-08,1159,0,0,10,0,0,2009
SAN BERNARDINO,PENDLETON,2009-08-31,2009-09-04,860,0,0,5,0,0,2009
LAKE,Oasis,2009-09-07,2009-09-12,1500,0,0,6,0,0,2009
RIVERSIDE,Vail,2009-09-19,2009-09-20,398,0,0,2,0,0,2009
PLUMAS,SILVER,2009-09-19,2009-09-21,307,0,0,3,0,0,2009
VENTURA,GUIBERSON,2009-09-22,2009-10-01,17500,0,0,10,0,0,2009
SAN BERNARDINO,CRAFTON,2009-09-23,2009-09-26,347,0,0,4,0,0,2009
YOLO,SIX (NOT IN NFIRS),2009-10-01,2009-10-01,1235,0,0,1,0,0,2009
SANTA BARBARA,HIGHWAY,2009-10-01,2009-10-03,617,0,0,3,0,0,2009
SAN BERNARDINO,SHEEP,2009-10-03,2009-10-10,7128,0,0,8,0,0,2009
HUMBOLDT,MILL CREEK #4,2009-10-07,2009-10-17,3800,0,0,11,0,0,2009
SANTA CRUZ,Loma,2009-10-25,2009-10-27,485,0,0,3,0,0,2009
SAN LUIS OBISPO,Hernrick VMP,2009-11-14,2009-11-14,600,0,0,1,0,0,2009
GLENN,DOE,2009-11-28,2009-11-29,550,0,0,2,0,0,2009
RIVERSIDE,PEDLEY,2010-05-12,2010-05-13,850,0,0,2,0,0,2010
KERN,METZEN,2010-05-15,2010-05-15,360,0,0,1,1,0,2010
SAN LUIS OBISPO,COTTON,2010-05-15,2010-05-17,2044,0,0,3,0,0,2010
RIVERSIDE,MCKINLEY,2010-05-20,2010-05-22,1000,0,0,3,0,0,2010
TULARE,BALE,2010-06-04,2010-06-04,485,0,0,1,0,0,2010
MERCED,CHILDS,2010-06-05,2010-06-05,462,0,0,1,0,0,2010
FRESNO,WHITES,2010-06-07,2010-06-07,350,0,0,1,0,0,2010
STANISLAUS,STUHR,2010-06-08,2010-06-10,586,0,0,3,0,0,2010
MERCED,ROBINSON,2010-06-11,2010-06-12,1600,0,0,2,0,0,2010
ALAMEDA,DIABLO,2010-06-18,2010-06-19,475,0,0,2,1,0,2010
BUTTE,PALERMO,2010-07-04,2010-07-05,900,0,0,2,0,0,2010
SANTA BARBARA,166,2010-07-12,2010-07-12,350,0,0,1,1,0,2010
SAN DIEGO,ALISO,2010-07-13,2010-07-15,3225,0,0,3,0,0,2010
RIVERSIDE,SKINNER,2010-07-15,2010-07-18,503,0,0,4,0,0,2010
RIVERSIDE,CACTUS,2010-07-15,2010-07-18,720,0,0,4,1,0,2010
KERN,BODFISH,2010-07-15,2010-07-18,552,0,0,4,0,0,2010
KERN,SAND 2,2010-07-16,2010-07-22,1254,0,0,7,0,0,2010
FRESNO,SHEEP,2010-07-16,2010-10-25,9020,0,0,102,0,0,2010
KERN,INDIAN,2010-07-18,2010-07-24,1822,0,0,7,0,0,2010
MONO,PATATO,2010-07-24,2010-07-27,686,0,0,4,0,0,2010
TUOLUMNE,SLOPE,2010-07-25,2010-08-23,1711,0,0,30,0,0,2010
MONO,MONO,2010-07-26,2010-07-29,1205,0,0,4,0,0,2010
KERN,BULL,2010-07-26,2010-08-10,16442,0,0,16,14,0,2010
KERN,WEST,2010-07-27,2010-08-06,1658,0,0,11,50,13,2010
LASSEN,MCDONALD,2010-07-27,2010-08-10,9408,0,0,15,0,0,2010
LOS ANGELES,BRIGGS,2010-07-29,2010-07-30,510,0,0,2,0,0,2010
LOS ANGELES,CROWN,2010-07-29,2010-08-03,14000,0,0,6,10,6,2010
SISKIYOU,DUTCH,2010-07-31,2010-08-04,371,0,0,5,0,0,2010
PLUMAS,BAR,2010-07-31,2010-08-10,1040,0,0,11,0,0,2010
MADERA,BUCKHORN,2010-08-07,2010-10-30,466,0,0,85,0,0,2010
TUOLUMNE,VERNON,2010-08-08,2010-10-31,909,0,0,85,0,0,2010
TUOLUMNE,PINECREST,2010-08-09,2010-10-15,799,0,0,68,0,0,2010
TULARE,STOKES 2,2010-08-17,2010-08-18,879,0,0,2,0,0,2010
PLACER,BASELINE,2010-08-20,2010-08-21,434,0,0,2,0,0,2010
SAN LUIS OBISPO,POZO,2010-08-21,2010-08-22,1200,0,0,2,0,0,2010
SAN DIEGO,MONTE,2010-08-21,2010-08-23,2000,0,0,3,0,0,2010
LAKE,INDIAN,2010-08-24,2010-08-26,450,0,0,3,0,0,2010
KERN,POST,2010-08-25,2010-08-28,1312,0,0,4,0,0,2010
YUBA,BULLARD,2010-08-27,2010-08-31,1307,0,0,5,0,0,2010
NEVADA,BULLARDS,2010-08-27,2010-09-13,1500,0,0,18,0,0,2010
SAN DIEGO,COWBOY,2010-09-02,2010-09-07,827,0,0,6,0,0,2010
KERN,CANYON,2010-09-12,2010-09-19,9820,0,0,8,1,0,2010
SANTA BARBARA,BEAR CREEK,2010-10-28,2010-10-30,1253,0,0,3,0,0,2010
INYO,WINTERTON,2011-03-09,2011-03-09,395,0,0,1,0,0,2011
INYO,CENTER,2011-03-18,2011-03-23,850,0,0,6,19,0,2011
MONTEREY,METZ,2011-05-12,2011-05-14,832,0,0,3,0,0,2011
KERN,COVE,2011-05-27,2011-06-02,1122,0,0,7,0,0,2011
MONTEREY,CATTLEMAN,2011-05-29,2011-05-30,382,0,0,2,0,0,2011
MODOC,COUGAR,2011-06-08,2011-06-13,1800,0,0,6,0,0,2011
KERN,IKEA,2011-06-12,2011-06-12,640,0,0,1,0,0,2011
KERN,ANTELOPE,2011-06-19,2011-06-21,5200,0,0,3,2,0,2011
KERN,QUINN,2011-06-21,2011-06-22,3154,0,0,2,0,0,2011
STANISLAUS,EASTMAN,2011-06-24,2011-06-24,330,0,0,1,0,0,2011
SAN LUIS OBISPO,HIGHWAY,2011-06-24,2011-06-24,387,0,0,1,0,0,2011
MERCED,REST,2011-06-26,2011-06-27,575,0,0,2,0,0,2011
TULARE,STAGE,2011-06-27,2011-07-02,1213,0,0,6,0,0,2011
HUMBOLDT,SPANISH,2011-07-01,2011-07-04,498,0,0,4,0,0,2011
SAN JOAQUIN,CHRISMAN,2011-07-05,2011-07-06,400,0,0,2,0,0,2011
ORANGE,"CARBON
CANYON",2011-07-07,2011-07-08,508,0,0,2,0,0,2011
TULARE,LION,2011-07-08,2011-11-08,20500,0,0,124,0,0,2011
YUBA,KRISTA,2011-07-09,2011-07-10,360,0,0,2,0,0,2011
TULARE,GRANITE,2011-07-09,2011-07-12,780,0,0,4,7,0,2011
ALAMEDA,FLYNN,2011-07-14,2011-07-14,500,0,0,1,0,0,2011
MODOC,MAMMOTH,2011-07-15,2011-09-05,1194,0,0,53,0,0,2011
MODOC,"SCORPION
COMPLEX",2011-07-15,2011-09-05,1418,0,0,53,0,0,2011
ALAMEDA,FLYNN,2011-07-21,2011-07-22,545,0,0,2,0,0,2011
SAN DIEGO,EAGLE,2011-07-21,2011-07-29,14100,0,0,9,0,0,2011
MERCED,ROMERO,2011-07-23,2011-07-23,489,0,0,1,0,0,2011
MARIPOSA,AVALANCHE,2011-07-31,2011-10-01,1069,0,0,63,0,0,2011
MENDOCINO,PASS,2011-08-03,2011-08-07,616,0,0,5,0,0,2011
RIVERSIDE,GILMAN,2011-08-06,2011-08-07,945,0,0,2,0,0,2011
NAPA,KNOXVILLE,2011-08-13,2011-08-15,506,0,0,3,0,0,2011
MODOC,ANNIE,2011-08-18,2011-09-16,2076,0,0,30,0,0,2011
SISKIYOU,ONION,2011-08-19,2011-10-11,560,0,0,54,0,0,2011
SAN BERNARDINO,KEN,2011-08-22,2011-08-30,350,0,0,9,1,0,2011
MARIPOSA,MOTOR,2011-08-25,2011-10-01,5230,0,0,38,0,0,2011
LOS ANGELES,OASIS,2011-08-27,2011-08-29,375,0,0,3,0,0,2011
SOLANO,BEACON,2011-08-27,2011-08-30,715,0,0,4,0,0,2011
SAN BERNARDINO,WELLS,2011-08-28,2011-08-30,1784,0,0,3,0,0,2011
RIVERSIDE,KELLER,2011-08-29,2011-08-31,450,0,0,3,0,0,2011
SAN BERNARDINO,HILL,2011-09-02,2011-09-08,1153,0,0,7,3,2,2011
SAN LUIS OBISPO,SODA,2011-09-03,2011-09-04,1528,0,0,2,1,0,2011
SANTA BARBARA,FIGUEROA,2011-09-03,2011-09-12,698,0,0,10,0,0,2011
TULARE,ROADRUNNER,2011-09-04,2011-09-05,335,0,0,2,0,0,2011
KERN,CANYON,2011-09-04,2011-09-11,14585,0,0,8,100,0,2011
TULARE,WILLOWS,2011-09-04,2011-09-12,310,0,0,9,0,0,2011
LOS ANGELES,"WAGON
WHEEL",2011-09-05,2011-09-08,500,0,0,4,8,0,2011
SAN JOAQUIN,MILTON,2011-09-09,2011-09-11,1122,0,0,3,0,0,2011
KERN,"KEENE
COMPLEX",2011-09-10,2011-09-14,10470,0,0,5,0,0,2011
KERN,"COMANCHE
COMPLEX",2011-09-10,2011-09-17,29338,0,0,8,0,0,2011
