County,Fire Name,Start,Contained,Acres,Deaths_FF,Deaths_Civil,Duration,Strux_Destr,Strux_Dmgd
MODOC,JONES,2017-08-23,2017-08-27,375,0,0,5,0,0
MONO,SLINKARD,2017-08-29,2017-09-11,"8,925",0,0,14,0,0
BUTTE,PONDEROSA,2017-08-29,2017-10-28,"4,016",0,0,61,55,0
NEVADA,PLEASANT,2017-08-30,2017-09-06,392,0,0,8,1,1
MADERA,PEAK,2017-09-03,2017-09-09,680,0,0,7,4,0
MADERA,MISSION,2017-09-03,2017-09-13,"1,037",0,0,11,7,4
TUOLUMNE,CREEK,2017-09-03,2017-11-20,"1,749",0,0,79,0,0
TRINITY,BUCK,2017-09-12,2017-11-05,"13,434",0,0,55,0,0
MADERA,EASTMAN,2017-09-18,2017-09-19,483,0,0,2,0,0
TULARE,LION,2017-09-24,2017-11-27,"19,215",0,0,65,0,0
ORANGE,CANYON,2017-09-25,2017-10-03,"2,662",0,0,9,0,7
SANTA CRUZ,BEAR,2017-10-16,2017-10-29,391,0,0,14,6,0
LOS ANGELES,CREEK,2017-12-05,2017-12-29,"15,619",0,0,25,123,81
INYO,PLEASANT,2018-02-18,2018-02-25,"2,070",0,0,8,0,0
LOS ANGELES,STONE,2018-06-04,2018-06-08,"1,352",0,0,5,0,0
TEHAMA,APPLE,2018-06-09,2018-06-12,"2,956",0,0,4,9,3
LASSEN,TUMBLEWEED,2018-06-14,2018-06-17,646,0,0,4,0,0
SAN LUIS OBISPO,YANKEE,2018-06-20,2018-06-22,"1,500",0,0,3,0,0
SHASTA,PANTHER,2018-06-24,2018-06-26,386,0,0,3,0,0
SAN DIEGO,WEST,2018-07-06,2018-07-10,505,0,0,5,48,14
SAN BERNARDINO,VALLEY,2018-07-06,2018-07-12,"1,350",0,0,7,0,0
ALAMEDA,GRANT,2018-07-08,2018-07-09,480,0,0,2,1,0
MODOC,EAGLE,2018-07-13,2018-07-20,"2,100",0,0,8,0,0
SUTTER,BUTTE,2018-07-31,2018-08-02,"1,000",0,0,3,0,0
MONO,OWENS,2018-07-31,2018-08-05,338,0,0,6,0,0
KERN,TARINA,2018-08-03,2018-08-05,"3,516",0,0,3,0,0
MONTEREY,TURKEY,2018-08-06,2018-08-07,"2,225",0,0,2,0,0
SOLANO,NELSON,2018-08-10,2018-08-14,"2,162",0,0,5,1,1
MONTEREY,GULCH,2018-08-11,2018-08-11,700,0,0,1,0,0
MODOC,STONE,2018-08-15,2018-09-01,"39,387",0,0,18,2,0
PLACER,NORTH,2018-09-03,2018-09-16,"1,120",0,0,14,0,0
MONTEREY,METZ,2018-09-13,2018-09-15,411,0,0,3,0,0
MADERA,OAK,2018-09-22,2018-09-29,360,0,0,8,0,0
VENTURA,HILL,2018-11-08,2018-11-16,"4,381",0,0,9,4,2
RIVERSIDE,LINCOLN,2019-03-15,2019-03-20,560,0,0,6,0,0
KERN,REFUGE,2019-05-07,2019-05-08,"2,500",0,0,2,0,0
STANISLAUS,STUHR,2019-06-07,2019-06-07,581,0,0,1,0,0
COLUSA,SAND,2019-06-08,2019-06-15,"2,220",0,0,8,4,0
TULARE,COW,2019-07-25,2019-10-11,"2,025",0,0,79,0,0
MONO,SPRINGS,2019-07-26,2019-10-01,"4,840",0,0,68,0,0
MONTEREY,LAKE,2019-07-29,2019-08-01,306,0,0,4,0,0
MONTEREY,MILL,2019-07-30,2019-08-08,310,0,0,10,0,0
MARIPOSA,HUNTER,2019-08-15,2019-08-15,433,0,0,1,0,0
MARIPOSA,GAINES,2019-08-16,2019-08-20,"1,300",0,0,5,0,0
SHASTA,MOUNTAIN,2019-08-22,2019-08-31,600,0,0,10,14,7
LASSEN,LONG VALLEY,2019-08-24,2019-08-27,"2,438",0,0,4,1,4
TULARE,CREEK,2019-08-31,2019-09-04,756,0,0,5,0,0
PLUMAS,WALKER,2019-09-04,2019-09-25,"54,608",0,0,22,9,0
SISKIYOU,LIME,2019-09-05,2019-09-25,"1,872",0,0,21,0,0
TEHAMA,SOUTH,2019-09-05,2019-11-27,"5,332",0,0,84,2,0
BUTTE,SWEDES,2019-09-07,2019-09-09,496,0,0,3,2,1
RIVERSIDE,HORSESHOE,2019-09-14,2019-09-17,503,0,0,4,0,0
PLACER,BASELINE,2019-09-20,2019-09-21,640,0,0,2,0,0
NAPA,AMERICAN,2019-10-06,2019-10-07,526,0,0,2,1,0
RIVERSIDE,HILL,2019-10-31,2019-11-03,628,0,0,4,0,0
SAN LUIS OBISPO,RANGE,2020-05-27,2020-05-28,"5,000",0,0,2,0,0
SAN LUIS OBISPO,SODA,2020-06-10,2020-06-10,"1,680",0,0,1,0,0
VENTURA,LIME,2020-06-10,2020-06-16,803,0,0,7,0,0
SACRAMENTO,GRANT,2020-06-12,2020-06-19,"5,042",0,0,8,0,1
FRESNO,HOG,2020-06-14,2020-06-15,533,0,0,2,0,0
FRESNO,EAGLE,2020-06-15,2020-06-15,300,0,0,1,0,0
CALAVERAS,WALKER,2020-06-16,2020-06-21,"1,455",0,0,6,2,2
TULARE,GRADE,2020-06-22,2020-06-25,"1,050",0,0,4,0,0
MERCED,PASS,2020-06-28,2020-06-30,"2,192",0,0,3,0,0
SAN LUIS OBISPO,LAKE,2020-07-04,2020-07-05,583,0,0,2,1,0
SANTA CLARA,PARK,2020-07-04,2020-07-08,353,0,0,5,0,0
FRESNO,MINERAL,2020-07-13,2020-07-26,"29,667",0,0,14,7,0
YUBA,VALLEY,2020-07-15,2020-07-15,500,0,0,1,0,0
LASSEN,HOG,2020-07-18,2020-08-28,"9,564",0,0,42,2,0
SISKIYOU,JULY COMPLEX,2020-07-22,2020-08-22,"83,261",0,0,32,15,0
LOS ANGELES,RIDGE,2020-07-27,2020-07-27,321,0,0,1,0,0
MERCED,COTTONWOOD,2020-07-27,2020-07-29,788,0,0,3,0,0
SAN LUIS OBISPO,BRANCH,2020-07-28,2020-08-03,"3,222",0,0,7,8,0
FRESNO,LINCOLN,2020-07-29,2020-07-29,640,0,0,1,0,0
RIVERSIDE,APPLE,2020-07-31,2020-11-18,"33,424",0,0,111,13,6
SAN LUIS OBISPO,POND,2020-08-01,2020-08-09,"2,005",0,0,9,4,1
YUBA,BEALE,2020-08-02,2020-08-03,600,0,0,2,0,0
COLUSA,SITES,2020-08-02,2020-08-06,560,0,0,5,1,1
LASSEN,NORTH,2020-08-02,2020-08-08,"6,882",0,0,7,0,1
SAN LUIS OBISPO,PASS,2020-08-04,2020-08-05,322,0,0,2,0,0
TUOLUMNE,WOLF,2020-08-11,2020-11-19,"2,057",0,0,101,0,0
LOS ANGELES,LAKE,2020-08-12,2020-09-30,"31,089",0,0,50,34,6
MONTEREY,RIVER,2020-08-16,2020-09-04,"48,088",0,0,20,30,13
NEVADA,JONES,2020-08-17,2020-09-06,705,0,0,21,18,3
PLUMAS,SHEEP,2020-08-17,2020-09-09,"29,570",0,0,24,26,2
CALAVERAS,SALT,2020-08-18,2020-08-24,"1,783",0,0,7,0,0
MENDOCINO,CREEK,2020-08-18,2020-08-26,820,0,0,9,3,0
FRESNO,CREEK,2020-09-04,2020-12-31,"379,895",0,0,119,858,71
SAN DIEGO,VALLEY,2020-09-05,2020-09-24,"16,390",0,0,20,64,11
SAN BERNARDINO,EL DORADO,2020-09-05,2020-11-16,"22,744",1,0,73,14,2
MENDOCINO,OAK,2020-09-07,2020-09-25,"1,100",0,0,19,56,1
EL DORADO,FORK,2020-09-08,2020-11-08,"1,673",0,0,62,0,0
YUBA,WILLOW,2020-09-09,2020-09-09,"1,311",0,0,1,11,5
SISKIYOU,FOX,2020-09-14,2020-09-30,"2,188",0,0,17,0,0
MONTEREY,COLEMAN,2020-10-18,2020-11-15,574,0,0,29,0,0
ORANGE,SILVERADO,2020-10-26,2020-11-07,"12,466",0,0,13,5,11
RIVERSIDE,AIRPORT,2020-12-01,2020-12-17,"1,087",0,0,17,0,0
KERN,WOLF,2021-01-19,2021-01-20,865,0,0,2,0,0
SISKIYOU,REFUGE,2021-03-27,2021-03-28,873,0,0,2,0,0
LOS ANGELES,NORTH,2021-04-28,2021-05-02,650,0,0,5,0,0
KERN,OWENS,2021-05-01,2021-05-06,"1,512",0,0,6,0,0
LOS ANGELES,PINE,2021-05-12,2021-05-15,442,0,0,4,5,1
BUTTE,PARK,2021-06-17,2021-06-19,402,0,0,3,0,0
