County,Fire Name,Start,Contained,Acres,Deaths_FF,Deaths_Civil,Duration,Strux_Destr,Strux_Dmgd
Santa Clara,Pacheco,2009-08-29,2009-08-30,1600,0,0,2,0,0
Placer,Forty Nine,2009-08-30,2009-09-01,311,0,0,3,0,0
San Bernardino,Oak Glen III,2009-08-30,2009-09-08,1159,0,0,10,0,0
San Bernardino,PENDLETON,2009-08-31,2009-09-04,860,0,0,5,0,0
Lake,Oasis,2009-09-07,2009-09-12,1500,0,0,6,0,0
Riverside,Vail,2009-09-19,2009-09-20,398,0,0,2,0,0
Plumas,SILVER,2009-09-19,2009-09-21,307,0,0,3,0,0
Ventura,GUIBERSON,2009-09-22,2009-10-01,17500,0,0,10,0,0
San Bernardino,CRAFTON,2009-09-23,2009-09-26,347,0,0,4,0,0
Yolo,SIX (NOT IN NFIRS),2009-10-01,2009-10-01,1235,0,0,1,0,0
Santa Barbara,HIGHWAY,2009-10-01,2009-10-03,617,0,0,3,0,0
San Bernardino,SHEEP,2009-10-03,2009-10-10,7128,0,0,8,0,0
Humboldt,MILL CREEK #4,2009-10-07,2009-10-17,3800,0,0,11,0,0
Santa Cruz,Loma,2009-10-25,2009-10-27,485,0,0,3,0,0
San Luis Obispo,Hernrick VMP,2009-11-14,2009-11-14,600,0,0,1,0,0
Glenn,DOE,2009-11-28,2009-11-29,550,0,0,2,0,0
Riverside,PEDLEY,2010-05-12,2010-05-13,850,0,0,2,0,0
Kern,METZEN,2010-05-15,2010-05-15,360,0,0,1,1,0
San Luis Obispo,COTTON,2010-05-15,2010-05-17,2044,0,0,3,0,0
Riverside,MCKINLEY,2010-05-20,2010-05-22,1000,0,0,3,0,0
Tulare,BALE,2010-06-04,2010-06-04,485,0,0,1,0,0
Merced,CHILDS,2010-06-05,2010-06-05,462,0,0,1,0,0
Fresno,WHITES,2010-06-07,2010-06-07,350,0,0,1,0,0
Stanislaus,STUHR,2010-06-08,2010-06-10,586,0,0,3,0,0
Merced,ROBINSON,2010-06-11,2010-06-12,1600,0,0,2,0,0
Alameda,DIABLO,2010-06-18,2010-06-19,475,0,0,2,1,0
