County,Fire Name,Start,Contained,Acres,Strux_Destr,Strux_Dmgd,Deaths_FF,Deaths_Civil,Duration,Duration_Days
Tulare,DINELY,6/7/2017,6/10/2017,339,0,0,0,0,4 days,4
Madera,OAKWOOD,6/10/2017,6/13/2017,1417,0,0,0,0,4 days,4
Fresno,MONTEREY,6/11/2017,6/11/2017,450,0,0,0,0,1 days,1
Los Angeles,LAKE,6/17/2017,6/23/2017,850,0,2,0,0,7 days,7
Kern,HIGHWAY,6/21/2017,6/25/2017,1522,0,0,0,0,5 days,5
San Bernardino,HOLCOMB,6/21/2017,6/29/2017,1503,0,0,0,0,9 days,9
Fresno,CREEK,6/23/2017,6/27/2017,357,4,0,0,0,5 days,5
Tulare,SCHAEFFER,6/24/2017,8/5/2017,16031,0,0,0,0,43 days,43
Los Angeles,PLACERITA,6/25/2017,6/28/2017,760,1,1,0,0,4 days,4
San Luis Obispo,HILL,6/26/2017,6/28/2017,1626,7,0,0,0,3 days,3
Riverside,MANZANITA,6/26/2017,6/30/2017,6309,0,0,0,0,5 days,5
San Bernardino,MART,6/27/2017,7/1/2017,670,0,0,0,0,5 days,5
Modoc,BATTLE,6/28/2017,7/1/2017,640,0,0,0,0,4 days,4
San Diego,CRISTIANITOS,6/28/2017,7/1/2017,761,0,0,0,0,4 days,4
Mariposa,BEN,6/28/2017,7/6/2017,558,0,0,0,0,9 days,9
Kern,TARINA,6/30/2017,7/1/2017,1200,0,0,0,0,2 days,2
Fresno,DERRICK,7/2/2017,7/5/2017,1562,0,0,0,0,4 days,4
Siskiyou,FAY,7/5/2017,7/31/2017,496,1,0,0,0,27 days,27
Kern,QUIAL COMPLEX,7/6/2017,7/6/2017,1626,0,0,0,0,1 days,1
Yolo,WINTER,7/6/2017,7/14/2017,1700,0,0,0,0,9 days,9
San Luis Obispo,ALAMO,7/6/2017,7/18/2017,28687,14,1,0,0,13 days,13
Butte,WALL,7/7/2017,8/3/2017,6033,91,10,0,0,28 days,28
Monterey,PARKFIELD,7/8/2017,7/8/2017,1816,0,1,0,0,1 days,1
Santa Barbara,WHITTIER,7/8/2017,10/5/2017,18430,40,7,0,0,90 days,90
San Luis Obispo,STONE,7/9/2017,7/11/2017,340,3,0,0,0,3 days,3
Kings,GARZA,7/9/2017,7/25/2017,48660,1,0,0,0,17 days,17
Nevada,FARAD,7/10/2017,7/16/2017,747,0,0,0,0,7 days,7
San Diego,JENNINGS 2,7/11/2017,7/14/2017,400,0,0,0,0,4 days,4
Lassen,LONG VALLEY,7/11/2017,7/25/2017,83733,8,3,0,0,15 days,15
Modoc,DOBE,7/13/2017,7/31/2017,410,0,0,0,0,19 days,19
San Bernardino,BRIDGE 2,7/14/2017,7/18/2017,460,0,0,0,0,5 days,5
Mendocino,GRADE,7/16/2017,7/18/2017,900,1,0,0,0,3 days,3
Mariposa,DETWILER,7/16/2017,8/31/2017,81826,134,21,0,0,47 days,47
Fresno,PARK,7/17/2017,7/30/2017,1649,0,0,0,0,14 days,14
