County,Tot_Damage,Year,county_up
Fresno,812917.0,2016,FRESNO
Glenn,0.0,2016,GLENN
Humboldt,1595068.0,2016,HUMBOLDT
Imperial,0.0,2016,IMPERIAL
Inyo,350.0,2016,INYO
Kings,0.0,2016,KINGS
Lake,105579028.0,2016,LAKE
Lassen,715300.0,2016,LASSEN
Madera,299925.0,2016,MADERA
Mariposa,48410.0,2016,MARIPOSA
Mendocino,693434.0,2016,MENDOCINO
Merced,177500.0,2016,MERCED
Modoc,150004.0,2016,MODOC
Mono,0.0,2016,MONO
Monterey,11222283.0,2016,MONTEREY
Napa,300120.0,2016,NAPA
Nevada,1080921.0,2016,NEVADA
Placer,242200.0,2016,PLACER
Plumas,0.0,2016,PLUMAS
Riverside,3620.0,2016,RIVERSIDE
Sacramento,21201.0,2016,SACRAMENTO
San Benito,29602.0,2016,SAN BENITO
San Bernardino,629245.0,2016,SAN BERNARDINO
San Diego,4286760.0,2016,SAN DIEGO
San Francisco,0.0,2016,SAN FRANCISCO
San Joaquin,1936.0,2016,SAN JOAQUIN
San Luis Obispo,12215711.0,2016,SAN LUIS OBISPO
San Mateo,20200.0,2016,SAN MATEO
Santa Clara,275222.0,2016,SANTA CLARA
Santa Cruz,8603.0,2016,SANTA CRUZ
Shasta,215711.0,2016,SHASTA
Sierra,0.0,2016,SIERRA
Siskiyou,295712.0,2016,SISKIYOU
Solano,3103.0,2016,SOLANO
Sonoma,665106.0,2016,SONOMA
Stanislaus,8550.0,2016,STANISLAUS
Sutter,0.0,2016,SUTTER
Tehama,434250.0,2016,TEHAMA
Trinity,0.0,2016,TRINITY
Tulare,8664.0,2016,TULARE
Tuolumne,40363.0,2016,TUOLUMNE
Yolo,5001900.0,2016,YOLO
Yuba,197020.0,2016,YUBA
Butte,11448706.0,2017,BUTTE
Mendocino,308664.0,2017,MENDOCINO
Santa Clara,108439.0,2017,SANTA CLARA
Siskiyou,146800.0,2017,SISKIYOU
Riverside,315015.0,2017,RIVERSIDE
San Bernardino,33361.0,2017,SAN BERNARDINO
San Diego,18054.0,2017,SAN DIEGO
San Luis Obispo,3765125.0,2017,SAN LUIS OBISPO
Tulare,24105.0,2017,TULARE
Alameda,14101.0,2017,ALAMEDA
Alpine,0.0,2017,ALPINE
Amador,11957.0,2017,AMADOR
Butte,11448706.0,2017,BUTTE
Calaveras,240963.0,2017,CALAVERAS
Colusa,0.0,2017,COLUSA
Contra Costa,8028.0,2017,CONTRA COSTA
Del Norte,13002.0,2017,DEL NORTE
El Dorado,2366816.0,2017,EL DORADO
Fresno,415700.0,2017,FRESNO
Glenn,0.0,2017,GLENN
Humboldt,14771.0,2017,HUMBOLDT
Imperial,0.0,2017,IMPERIAL
Inyo,5000.0,2017,INYO
Kings,0.0,2017,KINGS
Lake,35412565.0,2017,LAKE
Lassen,2655.0,2017,LASSEN
Madera,2864170.0,2017,MADERA
Mariposa,40242411.0,2017,MARIPOSA
Mendocino,308664.0,2017,MENDOCINO
Merced,23200.0,2017,MERCED
Modoc,109236.0,2017,MODOC
Mono,0.0,2017,MONO
Monterey,555677.0,2017,MONTEREY
Napa,4000886621.0,2017,NAPA
Nevada,4000063130.0,2017,NEVADA
Placer,2332232.0,2017,PLACER
Plumas,306.0,2017,PLUMAS
Riverside,315015.0,2017,RIVERSIDE
Sacramento,150.0,2017,SACRAMENTO
San Benito,53300.0,2017,SAN BENITO
San Bernardino,28361.0,2017,SAN BERNARDINO
San Diego,18054.0,2017,SAN DIEGO
San Francisco,0.0,2017,SAN FRANCISCO
San Joaquin,26219.0,2017,SAN JOAQUIN
San Luis Obispo,3765125.0,2017,SAN LUIS OBISPO
San Mateo,1900.0,2017,SAN MATEO
Santa Clara,73510.0,2017,SANTA CLARA
Santa Cruz,1142615.0,2017,SANTA CRUZ
Shasta,3133700.0,2017,SHASTA
Sierra,0.0,2017,SIERRA
Siskiyou,146800.0,2017,SISKIYOU
Solano,1501000.0,2017,SOLANO
Sonoma,2005343853.0,2017,SONOMA
Stanislaus,13520.0,2017,STANISLAUS
Sutter,0.0,2017,SUTTER
Tehama,498670.0,2017,TEHAMA
Trinity,1508.0,2017,TRINITY
Tulare,24105.0,2017,TULARE
Tuolumne,587336.0,2017,TUOLUMNE
Yolo,20100000.0,2017,YOLO
Yuba,2001011250.0,2017,YUBA
Mendocino,30763211.0,2018,MENDOCINO
Santa Clara,3220947.0,2018,SANTA CLARA
Siskiyou,5903209.0,2018,SISKIYOU
Riverside,115605.0,2018,RIVERSIDE
San Bernardino,89000.0,2018,SAN BERNARDINO
San Diego,661802.0,2018,SAN DIEGO
San Luis Obispo,64793.0,2018,SAN LUIS OBISPO
Tulare,357026.0,2018,TULARE
Alameda,155477.0,2018,ALAMEDA
Alpine,0.0,2018,ALPINE
Amador,1091200.0,2018,AMADOR
Calaveras,144110.0,2018,CALAVERAS
Colusa,275000.0,2018,COLUSA
Contra Costa,2612150.0,2018,CONTRA COSTA
Del Norte,9500.0,2018,DEL NORTE
El Dorado,1968103.0,2018,EL DORADO
Fresno,111401.0,2018,FRESNO
Glenn,810500.0,2018,GLENN
Humboldt,1337883.0,2018,HUMBOLDT
Imperial,0.0,2018,IMPERIAL
Inyo,2000.0,2018,INYO
Kings,0.0,2018,KINGS
Lake,7182249.0,2018,LAKE
Lassen,1476777.0,2018,LASSEN
Madera,300282.0,2018,MADERA
Mariposa,194400.0,2018,MARIPOSA
Mendocino,30763211.0,2018,MENDOCINO
Merced,1368100.0,2018,MERCED
Modoc,2403.0,2018,MODOC
Mono,0.0,2018,MONO
Monterey,221912.0,2018,MONTEREY
Napa,6639852.0,2018,NAPA
Nevada,1837232.0,2018,NEVADA
Placer,2582101.0,2018,PLACER
Plumas,1002.0,2018,PLUMAS
Riverside,115605.0,2018,RIVERSIDE
Sacramento,2.0,2018,SACRAMENTO
